AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.19,-5.57,13.8,-0.16,-0.15,-0.21,1721396036862,paving_stone
-3.47,3.84,18.21,0.1,-0.07,-0.11,1721396036872,paving_stone
-5.28,15.52,9.56,0.1,-0.27,0.21,1721396036882,paving_stone
-1.96,15.31,9.18,0.03,-0.2,0.44,1721396036892,paving_stone
3.19,-14.71,0.97,-0.34,-0.3,0.4,1721396036902,paving_stone
3.77,-18.45,18.91,-0.47,0.3,-0.15,1721396036912,paving_stone
1.58,-3.47,9.38,0.16,-0.48,-0.26,1721396036922,paving_stone
-1.13,-6.02,10.41,0.05,0.02,-0.05,1721396036932,paving_stone
-3.56,14.55,11.43,0.49,-0.58,0.22,1721396036942,paving_stone
4.06,7.06,0.4,0.04,0.09,0.21,1721396036952,paving_stone
4.72,1.19,19.53,-0.54,0.02,-0.22,1721396036962,paving_stone
-0.08,0.59,10.51,-0.13,-0.34,-0.42,1721396036972,paving_stone
-4.04,-14.49,8.23,-0.37,0.25,-0.37,1721396036982,paving_stone
-7.22,4.95,13.88,0.56,-0.5,0.35,1721396036992,paving_stone
-0.19,6.91,2.67,0.1,0.11,0.61,1721396037002,paving_stone
7.37,17.7,23.5,-0.02,-0.17,0.32,1721396037012,paving_stone
4.81,12.08,2.98,-0.01,-0.54,-0.09,1721396037022,paving_stone
9.74,-14.71,4.53,-0.75,0.45,-0.79,1721396037032,paving_stone
-2.48,-14.19,14.04,-0.14,-0.56,-1.07,1721396037042,paving_stone
-8.75,-11.94,-1.96,0.29,-0.17,-0.54,1721396037052,paving_stone
-5.41,-4.91,9.07,-0.05,0.27,0.29,1721396037062,paving_stone
-3.55,1.25,3.64,0.47,-0.54,0.71,1721396037072,paving_stone
8.93,-2.88,4.21,-0.06,0.14,0.33,1721396037082,paving_stone
7.24,10.12,26.77,-0.29,-0.39,-0.39,1721396037092,paving_stone
3.57,8.48,28.02,-0.25,0.32,-0.66,1721396037102,paving_stone
0.85,7.69,5.86,-0.09,-0.39,-0.08,1721396037112,paving_stone
1.87,-7.69,-4.09,-0.41,0.41,-0.18,1721396037122,paving_stone
0.25,3.45,11.82,0.27,-0.28,-0.3,1721396037132,paving_stone
-0.85,1.53,-4.57,0.44,0.06,-0.38,1721396037142,paving_stone
-0.87,-4.1,9.43,-0.06,0.06,-0.24,1721396037152,paving_stone
-3.08,7.15,11.67,-0.11,-0.22,-0.12,1721396037162,paving_stone
-0.1,-5.74,10.17,-0.38,0.36,-0.06,1721396037172,paving_stone
-1.58,1.94,17.03,0.03,0.01,-0.24,1721396037182,paving_stone
-0.28,2.14,2.26,0.2,-0.12,-0.09,1721396037192,paving_stone
-0.15,7.63,14.64,-0.09,0.26,-0.22,1721396037202,paving_stone
2.62,-6.84,15.09,-0.15,-0.31,0.01,1721396037212,paving_stone
1.95,-12.65,22.95,-0.7,0.19,-0.16,1721396037222,paving_stone
0.04,15.6,20.98,-0.02,-0.1,-0.32,1721396037232,paving_stone
0.95,1.77,6.61,0.11,0.07,-0.36,1721396037242,paving_stone
-3.23,7.7,17.93,0.15,0.1,-0.56,1721396037252,paving_stone
-2.55,6.05,2.23,0.63,-0.24,-0.0,1721396037262,paving_stone
0.32,-14.48,4.35,-0.03,0.48,0.03,1721396037272,paving_stone
4.29,8.36,12.06,0.48,0.07,-0.24,1721396037282,paving_stone
2.56,-1.19,-0.3,0.27,-0.12,-0.48,1721396037292,paving_stone
-1.42,-2.46,12.67,0.04,0.24,-0.63,1721396037302,paving_stone
-3.39,1.95,13.97,0.13,-0.24,-0.25,1721396037312,paving_stone
1.3,1.49,15.21,-0.16,0.31,0.15,1721396037322,paving_stone
4.24,3.67,5.57,0.04,-0.02,0.01,1721396037332,paving_stone
5.24,-3.96,4.03,-0.2,0.38,-0.77,1721396037342,paving_stone
