AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.17,5.78,10.93,-0.01,-0.09,-0.04,1721379007940,asphalt
-1.77,3.42,10.16,-0.02,-0.1,-0.12,1721379007950,asphalt
-1.05,-7.5,6.38,-0.22,-0.13,-0.02,1721379007960,asphalt
-2.53,-4.56,12.89,-0.2,-0.02,0.14,1721379007970,asphalt
0.65,0.63,8.41,-0.04,-0.1,0.22,1721379007980,asphalt
2.11,-0.94,10.71,-0.09,-0.03,0.16,1721379007990,asphalt
1.98,0.89,7.66,0.12,-0.14,-0.05,1721379008000,asphalt
2.03,-0.61,6.93,-0.07,-0.0,-0.19,1721379008010,asphalt
-1.72,1.21,11.23,-0.08,-0.17,-0.17,1721379008020,asphalt
-1.01,-2.6,12.43,-0.2,0.0,-0.05,1721379008030,asphalt
-0.18,-3.68,15.71,-0.17,-0.08,0.06,1721379008040,asphalt
0.77,-1.05,16.1,-0.06,-0.03,0.09,1721379008050,asphalt
1.16,2.53,14.91,-0.01,-0.06,-0.07,1721379008060,asphalt
1.15,3.12,12.01,0.12,-0.08,-0.11,1721379008070,asphalt
0.15,3.45,9.88,0.15,-0.04,-0.1,1721379008080,asphalt
-0.2,2.86,9.91,0.26,-0.04,-0.01,1721379008090,asphalt
0.99,0.89,5.92,0.27,0.02,-0.0,1721379008100,asphalt
0.59,0.93,5.26,0.25,-0.02,-0.07,1721379008110,asphalt
0.98,0.87,5.65,0.11,0.06,-0.08,1721379008120,asphalt
0.46,-2.37,11.93,0.02,0.11,-0.1,1721379008130,asphalt
-0.65,-2.15,15.14,0.08,0.03,-0.06,1721379008140,asphalt
-0.99,1.1,12.15,0.1,-0.04,0.03,1721379008150,asphalt
0.16,4.35,12.53,0.16,0.01,0.08,1721379008160,asphalt
1.75,4.19,7.47,0.26,-0.09,0.04,1721379008170,asphalt
1.51,3.27,11.74,0.17,0.13,-0.28,1721379008180,asphalt
-0.97,1.66,6.68,0.33,-0.22,-0.27,1721379008190,asphalt
-1.28,-2.8,7.62,0.04,0.22,-0.14,1721379008200,asphalt
-0.62,-0.07,12.13,0.17,0.02,0.11,1721379008210,asphalt
2.17,0.76,8.63,0.14,0.11,0.14,1721379008220,asphalt
2.89,1.33,10.44,0.21,0.06,-0.06,1721379008230,asphalt
2.53,0.39,5.69,0.22,0.01,-0.31,1721379008240,asphalt
-0.41,1.57,9.19,0.04,0.1,-0.42,1721379008250,asphalt
-1.5,2.14,9.86,0.09,-0.03,-0.27,1721379008260,asphalt
-1.79,0.38,9.4,-0.02,0.11,-0.15,1721379008270,asphalt
0.25,-0.47,11.09,-0.01,0.1,-0.15,1721379008280,asphalt
0.06,-0.66,7.84,0.0,0.02,-0.18,1721379008290,asphalt
0.09,-0.47,11.01,-0.08,0.18,-0.24,1721379008300,asphalt
-0.51,1.4,11.23,-0.04,0.07,-0.23,1721379008310,asphalt
-1.19,1.13,9.46,-0.04,0.12,-0.23,1721379008320,asphalt
-0.64,-2.9,8.4,-0.14,0.05,-0.11,1721379008330,asphalt
0.11,-0.79,10.85,-0.11,0.18,-0.08,1721379008340,asphalt
1.18,1.37,10.5,-0.05,0.1,-0.11,1721379008350,asphalt
0.34,-2.18,9.48,-0.13,0.09,-0.23,1721379008360,asphalt
