AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,TimeDiff(ms),Acc_Magnitude,Gyr_Magnitude,Acc_L2Norm,Gyr_L2Norm,Acc_Mean,Gyr_Mean,Acc_Variance,Gyr_Variance,Acc_StdDev,Gyr_StdDev
-0.33,1.43,5.65,0.03,0.05,-0.18,1721198961276,10000.0,5.837490899350508,0.189208879284245,5.837490899350508,0.189208879284245,2.25,-0.0333333333333333,9.444400000000002,0.0162333333333333,3.0731742547405285,0.1274100990241093
-1.72,2.44,13.28,-0.07,0.25,-0.13,1721198961286,10000.0,13.611406980911267,0.2903446228191595,13.611406980911267,0.2903446228191595,4.666666666666667,0.0166666666666666,59.96853333333334,0.0417333333333333,7.743935261437388,0.2042873792805941
-1.56,-0.97,6.59,0.03,-0.04,0.09,1721198961296,10000.0,6.841242577193123,0.10295630140987,6.841242577193123,0.10295630140987,1.3533333333333333,0.0266666666666666,20.65403333333333,0.0042333333333333,4.544670871838062,0.0650640709864771
-0.55,2.4,14.88,-0.09,0.27,0.04,1721198961306,10000.0,15.082337352015438,0.2874021572639983,15.082337352015438,0.2874021572639983,5.576666666666667,0.0733333333333333,67.08963333333335,0.0332333333333333,8.190826169156159,0.1823001188516709
1.92,0.97,10.35,0.15,-0.02,0.06,1721198961316,10000.0,10.571177796253355,0.162788205960997,10.571177796253355,0.162788205960997,4.413333333333333,0.0633333333333333,26.65863333333333,0.0072333333333333,5.163199912199152,0.0850490054811538
0.36,3.56,10.27,-0.01,0.16,-0.12,1721198961326,10000.0,10.875481598531625,0.2002498439450078,10.875481598531625,0.2002498439450078,4.73,0.01,25.5787,0.0199,5.05753892718583,0.1410673597966588
-0.99,0.67,10.14,0.01,0.08,-0.16,1721198961336,10000.0,10.210220369805931,0.1791647286716891,10.210220369805931,0.1791647286716891,3.273333333333333,-0.0233333333333333,36.05223333333334,0.0152333333333333,6.004351200032635,0.1234233905438241
-3.02,1.26,10.73,0.09,0.02,0.01,1721198961346,10000.0,11.217883044496409,0.092736184954957,11.217883044496409,0.092736184954957,2.99,0.04,49.5103,0.0018999999999999,7.036355590787037,0.0435889894354067
-0.02,-0.88,8.45,-0.11,0.23,0.13,1721198961356,10000.0,8.495722453093673,0.2861817604250837,8.495722453093673,0.2861817604250837,2.516666666666666,0.0833333333333333,26.58823333333333,0.0305333333333333,5.156377927705972,0.174737898961082
-0.07,5.56,13.57,0.17,0.03,0.14,1721198961366,10000.0,14.66504006131589,0.2222611077089287,14.66504006131589,0.2222611077089287,6.353333333333333,0.1133333333333333,46.98443333333334,0.0054333333333333,6.854519190529219,0.0737111479583199
3.42,1.84,5.51,-0.07,0.21,-0.03,1721198961376,10000.0,6.741075581834103,0.2233830790368867,6.741075581834103,0.2233830790368867,3.59,0.0366666666666666,3.3889,0.0229333333333333,1.8408965207202712,0.1514375558880073
0.59,4.01,14.91,0.01,0.08,-0.14,1721198961386,10000.0,15.451093812413411,0.1615549442140351,15.451093812413411,0.1615549442140351,6.503333333333333,-0.0166666666666666,55.92813333333333,0.0126333333333333,7.4785114383367315,0.1123981020005824
-1.6,1.02,8.73,-0.02,0.08,-0.16,1721198961396,10000.0,8.933828966350319,0.18,8.933828966350319,0.18,2.716666666666667,-0.0333333333333333,28.83623333333333,0.0145333333333333,5.369937926394805,0.1205542754668341
-2.61,1.52,13.51,-0.02,0.11,0.02,1721198961406,10000.0,13.843503891717589,0.1135781669160054,13.843503891717589,0.1135781669160054,4.14,0.0366666666666666,70.1119,0.0044333333333333,8.373284899010663,0.0665832811847939
